text,intent
flood in laguitas,emergency_shutoff
message support?,reach_admin
check connection in aglayan.,request_maintenance
now talk to admin!,reach_admin
emergency shutoff?,emergency_shutoff
massive leak emergency in st. peter urgent...,emergency_shutoff
brown water in zamboanguita!!!,contaminated_water
weak flow in magsaysay urgent...,low_pressure
please check my bill in barangay 11,check_bill
heavy traffic in capitan angel,unrelated_road
unacceptable dry tap in capitan angel.,no_supply
urgent good day?,greeting
aqua help in barangay 1.,greeting
how much is my bill in sinanglanan disappointed?,check_bill
customer service!,reach_admin
disappointed weak flow in managok.,low_pressure
weak water in sumpong,low_pressure
meter stolen in mapulo unacceptable!,broken_meter
no electricity in st. peter help!.,unrelated_electricity
water bill amount in maligaya...,check_bill
brownout...,unrelated_electricity
payment centers in barangay 1 help!,payment_inquiry
hi in sinalac...,greeting
payment centers in barangay 5,payment_inquiry
road repair in sinanglanan.,unrelated_road
flood in barangay 8 disappointed!!!,emergency_shutoff
road repair help!.,unrelated_road
poor pressure,low_pressure
garbage collection!,unrelated_garbage
noise complaint?,unrelated_general
smart is down in magsaysay...,unrelated_internet
no electricity in aglayan,unrelated_electricity
check connection in san jose...,request_maintenance
disappointed heavy traffic...,unrelated_road
brownout in zamboanguita asap!!!,unrelated_electricity
broken road...,unrelated_road
garbage collection.,unrelated_garbage
unacceptable incorrect reading in sinanglanan!!!,bill_dispute
unacceptable water gushing in barangay 4?,report_leak
water gushing in barangay 11 disappointed?,report_leak
stray dogs in barangay 4!,unrelated_general
massive leak emergency in kibalabag.,emergency_shutoff
now broken meter.,broken_meter
disappointed brownout!!!,unrelated_electricity
incorrect reading in manalog disappointed...,bill_dispute
defective water meter in can-ayan!,broken_meter
interruption,no_supply
power outage in barangay 2?,unrelated_electricity
help! where to pay!!!,payment_inquiry
urgent when will power return in laguitas!,unrelated_electricity
customer service,reach_admin
broken road in zamboanguita!!!,unrelated_road
wrong bill in barangay 7 asap.,bill_dispute
where is the hospital?,unrelated_general
water cut disappointed.,no_supply
no water in linabo,no_supply
repair line in kulaman now.,request_maintenance
urgent close valve!!!,emergency_shutoff
globe is down in bangcud,unrelated_internet
incorrect reading disappointed...,bill_dispute
water cut in mapayag help!.,no_supply
street lights not working.,unrelated_road
now road repair in capitan angel.,unrelated_road
pipe leak in barangay 6 asap!,report_leak
unacceptable close valve...,emergency_shutoff
where to throw garbage?,unrelated_garbage
meter issues in sumpong...,broken_meter
stop water in linabo?,emergency_shutoff
urgent unclear water in barangay 8?,contaminated_water
water cut in kibalabag help!!,no_supply
wrong bill in poblacion!,bill_dispute
water bill amount...,check_bill
urgent water bill amount in barangay 7!,check_bill
unacceptable no signal in casisang!!!,unrelated_internet
unacceptable where to pay?,payment_inquiry
please unclear water in barangay 10!!!,contaminated_water
asap traffic issue!,unrelated_road
now message support in linabo!!!,reach_admin
help please in barangay 8 asap.,reach_admin
help! hi?,greeting
emergency shutoff,emergency_shutoff
power outage...,unrelated_electricity
apply for water in can-ayan.,request_maintenance
garbage collection!!!,unrelated_garbage
check my bill in barangay 3 asap!,check_bill
broken road in busdi!,unrelated_road
noise complaint in barangay 4.,unrelated_general
weak flow urgent!,low_pressure
unacceptable apply for water in san jose,request_maintenance
unacceptable message support.,reach_admin
gcash payment in indalasa!!!,payment_inquiry
please broken meter in poblacion!!!,broken_meter
hi in st. peter,greeting
please customer service in mapayag,reach_admin
water bill amount!,check_bill
payment due,check_bill
help please in can-ayan urgent?,reach_admin
waterless in barangay 3 help!!,no_supply
stuck meter please!,broken_meter
poor pressure in barangay 10?,low_pressure
unacceptable globe is down in capitan angel.,unrelated_internet
poor pressure.,low_pressure
gcash payment disappointed!!!,payment_inquiry
trash not picked up in busdi urgent...,unrelated_garbage
unacceptable weak flow in cabangahan!,low_pressure
please broken meter!!!,broken_meter
where is the hospital help!...,unrelated_general
now water gushing!!!,report_leak
where to pay?,payment_inquiry
meter stolen urgent...,broken_meter
help please in barangay 10,reach_admin
wrong bill!,bill_dispute
check my bill in capitan angel.,check_bill
stuck meter!,broken_meter
please garbage collection in maligaya.,unrelated_garbage
check connection in managok urgent,request_maintenance
help! close valve in barangay 8!!!,emergency_shutoff
contaminated in indalasa...,contaminated_water
emergency shutoff asap?,emergency_shutoff
aqua help urgent!,greeting
online payment!!!,payment_inquiry
power outage in barangay 9 please.,unrelated_electricity
weak water in capitan angel.,low_pressure
apply for water.,request_maintenance
stray dogs in barangay 8!!!,unrelated_general
leakage in miglamin!!!,report_leak
weak water in indalasa unacceptable.,low_pressure
massive leak emergency in barangay 3...,emergency_shutoff
now dry tap in indalasa!!!,no_supply
stuck meter!!!,broken_meter
urgent meter issues in barangay 10.,broken_meter
disappointed view balance in barangay 6?,check_bill
now where to buy food?,unrelated_general
unacceptable street lights not working in silae,unrelated_road
contaminated.,contaminated_water
my internet is slow in barangay 4!!!,unrelated_internet
heavy traffic in sinalac.,unrelated_road
hello in barangay 8?,greeting
defective water meter asap!,broken_meter
apply for water...,request_maintenance
customer service in mapayag!,reach_admin
how to apply for a loan in barangay 2 now!!!,unrelated_general
street lights not working in indalasa,unrelated_road
traffic issue in kulaman?,unrelated_road
asap talk to admin in san jose!!!,reach_admin
urgent hardly any water in magsaysay...,low_pressure
asap fibeco issue,unrelated_electricity
view balance asap!!!,check_bill
customer service in st. peter.,reach_admin
please traffic issue!!!,unrelated_road
meter issues!,broken_meter
defective water meter in barangay 8,broken_meter
noise complaint in barangay 5...,unrelated_general
help please in barangay 4!!!,reach_admin
please stray dogs.,unrelated_general
urgent poor pressure!,low_pressure
how much is my bill in linabo?,check_bill
smelly water in capitan angel asap...,contaminated_water
i want to eat in sinanglanan please!!!,unrelated_general
close valve!,emergency_shutoff
close valve in poblacion...,emergency_shutoff
defective water meter in barangay 8!,broken_meter
payment due in barangay 10,check_bill
power outage asap!,unrelated_electricity
i want to eat in kulaman!,unrelated_general
help! heavy traffic in silae...,unrelated_road
disappointed water bill amount in st. peter?,check_bill
unacceptable stop water in barangay 11.,emergency_shutoff
potholes in magsaysay,unrelated_road
gcash payment in miglamin urgent!!!,payment_inquiry
asap aqua help in sumpong...,greeting
overcharged in barangay 7,bill_dispute
urgent water cut in busdi!,no_supply
lagging internet?,unrelated_internet
smelly water in manalog?,contaminated_water
road repair,unrelated_road
help! dirty water in magsaysay.,contaminated_water
help please in cabangahan,reach_admin
hardly any water in kibalabag.,low_pressure
interruption in barangay 2...,no_supply
flood in zamboanguita disappointed,emergency_shutoff
high bill in san jose urgent!!!,bill_dispute
payment due,check_bill
muddy water,contaminated_water
incorrect reading unacceptable,bill_dispute
where to throw garbage!,unrelated_garbage
pipe leak in barangay 5.,report_leak
where to pay.,payment_inquiry
customer service in caburacanan,reach_admin
unacceptable i want to eat in manalog,unrelated_general
burst pipe in barangay 11,report_leak
request maintenance...,request_maintenance
defective water meter please?,broken_meter
unacceptable poor pressure in st. peter.,low_pressure
water waste in sumpong...,report_leak
wrong bill in capitan angel!!!,bill_dispute
i want to eat in barangay 4 now,unrelated_general
urgent my internet is slow?,unrelated_internet
water bill amount in miglamin unacceptable?,check_bill
broken pipe in manalog please!!!,report_leak
now road repair in manalog.,unrelated_road
hardly any water in silae disappointed?,low_pressure
poor pressure in magsaysay!,low_pressure
brownout in sumpong urgent,unrelated_electricity
high bill in barangay 8 now,bill_dispute
hi.,greeting
broken meter in poblacion!,broken_meter
how to pay in laguitas urgent!!!,payment_inquiry
please potholes in barangay 2.,unrelated_road
no power in casisang?,unrelated_electricity
slow connection in maligaya,unrelated_internet
request maintenance in busdi,request_maintenance
no wifi in aglayan unacceptable!!!,unrelated_internet
no water in sinanglanan!,no_supply
apply for water in sumpong,request_maintenance
massive leak emergency,emergency_shutoff
water gushing in zamboanguita help!,report_leak
help please asap.,reach_admin
trash not picked up...,unrelated_garbage
urgent wrong bill in bangcud!!!,bill_dispute
emergency shutoff in caburacanan...,emergency_shutoff
where is the hospital in barangay 8?,unrelated_general
stop water in barangay 5...,emergency_shutoff
why no water in barangay 3!,no_supply
lagging internet unacceptable,unrelated_internet
now poor pressure in st. peter?,low_pressure
where is the hospital!!!,unrelated_general
power outage in indalasa,unrelated_electricity
now talk to admin in kulaman,reach_admin
asap weak water?,low_pressure
urgent incorrect reading...,bill_dispute
hey in zamboanguita now,greeting
muddy water,contaminated_water
wrong bill asap,bill_dispute
meter stolen in san jose asap...,broken_meter
disappointed where is the hospital in barangay 8.,unrelated_general
stuck meter in barangay 2...,broken_meter
road repair in barangay 5.,unrelated_road
road repair in zamboanguita help!!!!,unrelated_road
weak flow.,low_pressure
payment centers in silae.,payment_inquiry
now no signal in barangay 3,unrelated_internet
when will power return in manalog now,unrelated_electricity
customer service in silae urgent...,reach_admin
unacceptable broken meter in barangay 9!,broken_meter
how to pay in poblacion,payment_inquiry
help! overcharged in casisang,bill_dispute
now broken meter in indalasa,broken_meter
request maintenance in can-ayan,request_maintenance
request maintenance in poblacion!,request_maintenance
street lights not working.,unrelated_road
noise complaint!!!,unrelated_general
defective water meter...,broken_meter
disappointed power outage in barangay 9...,unrelated_electricity
close valve in magsaysay unacceptable?,emergency_shutoff
high bill!!!,bill_dispute
high bill in barangay 1,bill_dispute
aqua help in caburacanan!!!,greeting
waterless urgent!!!,no_supply
incorrect reading please!,bill_dispute
message support?,reach_admin
please weak water in can-ayan!,low_pressure
broken meter in silae...,broken_meter
repair line in sumpong!!!,request_maintenance
unclear water!!!,contaminated_water
brownout,unrelated_electricity
customer service in manalog.,reach_admin
urgent pipe leak!,report_leak
urgent how much is my bill in cabangahan!,check_bill
disappointed water waste in barangay 3,report_leak
broken road...,unrelated_road
my internet is slow,unrelated_internet
disappointed payment due in manalog,check_bill
urgent message support!!!,reach_admin
poor pressure in linabo asap,low_pressure
water bill amount,check_bill
disappointed new connection in kulaman!!!,request_maintenance
help please in kulaman,reach_admin
broken pipe.,report_leak
where is the hospital...,unrelated_general
hardly any water in barangay 3?,low_pressure
stuck meter in mapayag!!!,broken_meter
emergency shutoff in poblacion!,emergency_shutoff
unacceptable low pressure?,low_pressure
customer service in zamboanguita!!!,reach_admin
talk to admin in caburacanan please.,reach_admin
wrong bill asap!!!,bill_dispute
check my bill.,check_bill
where is the hospital!!!,unrelated_general
new connection urgent!,request_maintenance
garbage collection,unrelated_garbage
asap broken pipe in casisang!!!,report_leak
brown water in barangay 10 help!,contaminated_water
request maintenance in silae!,request_maintenance
please dirty water?,contaminated_water
smelly water in poblacion please?,contaminated_water
how to apply for a loan urgent,unrelated_general
online payment in magsaysay.,payment_inquiry
help! smelly water...,contaminated_water
hi in indalasa please...,greeting
loss of connection in barangay 3!,unrelated_internet
muddy water in magsaysay asap!,contaminated_water
flood,emergency_shutoff
urgent apply for water...,request_maintenance
asap water waste in kulaman!!!,report_leak
no electricity now.,unrelated_electricity
water bill amount in mapayag!,check_bill
urgent massive leak emergency...,emergency_shutoff
view balance now.,check_bill
asap talk to admin!,reach_admin
speak with someone in zamboanguita!!!,reach_admin
good day...,greeting
request maintenance urgent!,request_maintenance
hardly any water?,low_pressure
now when will power return in barangay 2!!!,unrelated_electricity
urgent check my bill in barangay 6,check_bill
trash not picked up in st. peter disappointed!!!,unrelated_garbage
weak flow.,low_pressure
now broken meter in barangay 5!!!,broken_meter
unacceptable hello in barangay 8!,greeting
brown water asap...,contaminated_water
unacceptable good morning...,greeting
where to throw garbage in cabangahan!,unrelated_garbage
water gushing in kulaman disappointed!!!,report_leak
stuck meter in san jose?,broken_meter
meter issues in laguitas urgent...,broken_meter
asap hello in aglayan.,greeting
now water gushing in kulaman?,report_leak
massive leak emergency in magsaysay urgent,emergency_shutoff
broken road now.,unrelated_road
water bill amount help!.,check_bill
talk to admin in st. peter urgent!!!,reach_admin
weak flow in sinanglanan?,low_pressure
weak water...,low_pressure
help! broken pipe in sinanglanan?,report_leak
water cut,no_supply
talk to admin in barangay 9...,reach_admin
leakage?,report_leak
view balance!!!,check_bill
disappointed aqua help in busdi?,greeting
where to throw garbage in barangay 5 asap!!!,unrelated_garbage
street lights not working.,unrelated_road
payment due,check_bill
help please,reach_admin
stop water?,emergency_shutoff
please customer service in barangay 11,reach_admin
broken meter in manalog!,broken_meter
noise complaint in linabo now!,unrelated_general
power outage in casisang...,unrelated_electricity
help! where to buy food in barangay 1!!!,unrelated_general
poor pressure in sumpong!!!,low_pressure
road repair in barangay 9 please.,unrelated_road
urgent when will power return?,unrelated_electricity
i want to eat...,unrelated_general
unacceptable fibeco issue in aglayan?,unrelated_electricity
disappointed pipe leak in caburacanan.,report_leak
flood in casisang urgent.,emergency_shutoff
asap online payment in kulaman!!!,payment_inquiry
water gushing disappointed...,report_leak
check connection in miglamin please?,request_maintenance
low pressure!,low_pressure
where to buy food help!?,unrelated_general
help please in cabangahan!!!,reach_admin
heavy traffic in sinanglanan?,unrelated_road
waterless now.,no_supply
street lights not working in aglayan?,unrelated_road
trash not picked up disappointed.,unrelated_garbage
no water disappointed...,no_supply
loss of connection!,unrelated_internet
complaint about bill in barangay 8 help!.,bill_dispute
where to pay please,payment_inquiry
massive leak emergency?,emergency_shutoff
loss of connection in sinalac,unrelated_internet
muddy water,contaminated_water
now complaint about bill.,bill_dispute
where to pay!!!,payment_inquiry
please wrong bill in barangay 9!!!,bill_dispute
waste management in mapulo,unrelated_garbage
pizza delivery!!!,unrelated_general
no power urgent...,unrelated_electricity
leak...,report_leak
urgent meter stolen in linabo!,broken_meter
urgent loss of connection in linabo,unrelated_internet
please dry tap in barangay 3!!!,no_supply
meter issues in maligaya unacceptable,broken_meter
payment centers in barangay 4 disappointed?,payment_inquiry
overcharged?,bill_dispute
water waste in cabangahan?,report_leak
dry tap in st. peter.,no_supply
how much is my bill now!!!,check_bill
unacceptable poor pressure in maligaya!!!,low_pressure
gcash payment...,payment_inquiry
asap no power in sinanglanan!!!,unrelated_electricity
now broken meter in barangay 2?,broken_meter
unclear water in busdi!!!,contaminated_water
water bill amount in caburacanan,check_bill
now check connection...,request_maintenance
meter issues?,broken_meter
street lights not working...,unrelated_road
disappointed emergency shutoff.,emergency_shutoff
meter stolen in busdi urgent.,broken_meter
aqua help in miglamin!,greeting
new connection in caburacanan unacceptable.,request_maintenance
asap weak flow in aglayan,low_pressure
no water in barangay 9,no_supply
hey in cabangahan help!?,greeting
power outage in zamboanguita now!,unrelated_electricity
where to throw garbage!!!,unrelated_garbage
message support.,reach_admin
wrong bill in mapayag!!!,bill_dispute
water bill amount in poblacion?,check_bill
complaint about bill please.,bill_dispute
now muddy water in capitan angel?,contaminated_water
water gushing in st. peter...,report_leak
no water in kibalabag urgent!,no_supply
street lights not working in san jose asap.,unrelated_road
unclear water help!.,contaminated_water
meter stolen!!!,broken_meter
interruption disappointed?,no_supply
please traffic issue.,unrelated_road
urgent loss of connection in sinanglanan,unrelated_internet
no signal,unrelated_internet
view balance?,check_bill
flood in miglamin unacceptable!,emergency_shutoff
dirty water in barangay 3...,contaminated_water
help please in cabangahan?,reach_admin
now no power,unrelated_electricity
apply for water unacceptable?,request_maintenance
stuck meter in laguitas!,broken_meter
burst pipe in mapulo?,report_leak
meter issues!,broken_meter
massive leak emergency in silae,emergency_shutoff
now gcash payment in cabangahan.,payment_inquiry
brownout in kulaman urgent!,unrelated_electricity
no electricity?,unrelated_electricity
stray dogs urgent,unrelated_general
talk to admin in barangay 5 now.,reach_admin
good day in san jose unacceptable,greeting
asap repair line in barangay 2!!!,request_maintenance
water gushing in miglamin please!!!,report_leak
good morning in san jose.,greeting
no wifi?,unrelated_internet
asap waste management in zamboanguita!!!,unrelated_garbage
no water in st. peter help!!,no_supply
water gushing.,report_leak
request maintenance in barangay 11!!!,request_maintenance
unclear water...,contaminated_water
asap overcharged in barangay 1!,bill_dispute
how much is my bill in san jose?,check_bill
online payment.,payment_inquiry
no electricity in casisang now...,unrelated_electricity
where to throw garbage help!!!!,unrelated_garbage
message support.,reach_admin
good morning in caburacanan unacceptable!!!,greeting
payment centers in magsaysay please.,payment_inquiry
incorrect reading in sumpong!,bill_dispute
hi in can-ayan...,greeting
view balance!!!,check_bill
waterless in manalog urgent...,no_supply
emergency shutoff.,emergency_shutoff
hey in cabangahan?,greeting
defective water meter in barangay 3.,broken_meter
flood in st. peter unacceptable?,emergency_shutoff
asap traffic issue in st. peter...,unrelated_road
where to buy food in st. peter?,unrelated_general
asap no electricity?,unrelated_electricity
please payment due...,check_bill
aqua help!!!,greeting
wrong bill in kibalabag asap,bill_dispute
urgent traffic issue in zamboanguita?,unrelated_road
urgent high bill...,bill_dispute
hey!!!,greeting
lagging internet in capitan angel,unrelated_internet
payment due in sinalac help!!,check_bill
help! stuck meter in laguitas!!!,broken_meter
no signal.,unrelated_internet
check connection.,request_maintenance
stop water disappointed?,emergency_shutoff
contaminated in sumpong!,contaminated_water
payment centers unacceptable!,payment_inquiry
help! stuck meter in sinanglanan?,broken_meter
potholes in managok!!!,unrelated_road
hi help!!,greeting
now burst pipe in magsaysay!!!,report_leak
apply for water asap...,request_maintenance
asap heavy traffic in barangay 2,unrelated_road
pizza delivery in indalasa now,unrelated_general
poor pressure in barangay 2...,low_pressure
customer service in barangay 1.,reach_admin
how much is my bill,check_bill
check connection,request_maintenance
how much is my bill in mapayag urgent.,check_bill
new connection.,request_maintenance
leakage in barangay 10!,report_leak
meter stolen?,broken_meter
leakage in mapayag disappointed?,report_leak
no signal in can-ayan unacceptable!,unrelated_internet
waterless...,no_supply
heavy traffic...,unrelated_road
noise complaint in barangay 4!!!,unrelated_general
smart is down in zamboanguita?,unrelated_internet
new connection in sinalac help!?,request_maintenance
now stray dogs in mapulo?,unrelated_general
stop water!!!,emergency_shutoff
garbage collection in maligaya!,unrelated_garbage
unacceptable gcash payment in managok!!!,payment_inquiry
check my bill in barangay 3...,check_bill
power outage in barangay 5!,unrelated_electricity
low pressure!!!,low_pressure
hi in sumpong.,greeting
complaint about bill in laguitas asap...,bill_dispute
online payment!,payment_inquiry
unacceptable potholes in barangay 4!,unrelated_road
hardly any water now?,low_pressure
my internet is slow...,unrelated_internet
water cut asap,no_supply
poor pressure in magsaysay help!?,low_pressure
please talk to admin in barangay 6!,reach_admin
now customer service...,reach_admin
please good day in busdi.,greeting
waste management!!!,unrelated_garbage
high bill disappointed.,bill_dispute
power outage...,unrelated_electricity
wrong bill!,bill_dispute
interruption?,no_supply
leakage in barangay 3.,report_leak
where to throw garbage.,unrelated_garbage
disappointed globe is down in silae?,unrelated_internet
power outage.,unrelated_electricity
online payment!!!,payment_inquiry
broken pipe!,report_leak
water cut in mapulo help!!,no_supply
hello in barangay 10.,greeting
hey,greeting
please massive leak emergency?,emergency_shutoff
how much is my bill in maligaya help!.,check_bill
repair line in caburacanan please?,request_maintenance
water bill amount disappointed...,check_bill
hardly any water in barangay 1 disappointed?,low_pressure
please no wifi!,unrelated_internet
leakage in laguitas unacceptable,report_leak
hey!!!,greeting
hello in managok!!!,greeting
poor pressure disappointed?,low_pressure
where is the hospital in barangay 2!!!,unrelated_general
i want to eat!,unrelated_general
stuck meter!,broken_meter
no wifi in miglamin?,unrelated_internet
waterless in sumpong...,no_supply
broken meter in sumpong...,broken_meter
flood disappointed,emergency_shutoff
leakage in mapulo!!!,report_leak
new connection in san jose?,request_maintenance
request maintenance asap...,request_maintenance
street lights not working in mapulo!,unrelated_road
traffic issue in can-ayan!!!,unrelated_road
defective water meter in cabangahan help!?,broken_meter
pizza delivery in can-ayan?,unrelated_general
talk to admin in busdi urgent!,reach_admin
water waste...,report_leak
water gushing?,report_leak
brown water in busdi...,contaminated_water
where to pay in barangay 7 asap...,payment_inquiry
help! talk to admin?,reach_admin
check my bill in zamboanguita!!!,check_bill
when will power return in san jose please!!!,unrelated_electricity
poor pressure,low_pressure
pizza delivery!!!,unrelated_general
no power in sumpong asap...,unrelated_electricity
talk to admin in magsaysay!!!,reach_admin
heavy traffic?,unrelated_road
how much is my bill in sinanglanan...,check_bill
gcash payment in manalog.,payment_inquiry
broken road,unrelated_road
urgent globe is down!!!,unrelated_internet
gcash payment in casisang help!...,payment_inquiry
unclear water in aglayan?,contaminated_water
please check connection...,request_maintenance
where to pay in barangay 3...,payment_inquiry
dry tap in sinanglanan!,no_supply
how to apply for a loan!!!,unrelated_general
high bill.,bill_dispute
interruption in sinanglanan,no_supply
customer service?,reach_admin
pizza delivery in busdi.,unrelated_general
help! smart is down in barangay 2!!!,unrelated_internet
please good day in poblacion...,greeting
traffic issue unacceptable!!!,unrelated_road
unacceptable smart is down,unrelated_internet
check my bill now!,check_bill
disappointed incorrect reading!,bill_dispute
potholes in barangay 6!,unrelated_road
gcash payment in bangcud!,payment_inquiry
pizza delivery in laguitas?,unrelated_general
stop water.,emergency_shutoff
street lights not working in kulaman urgent,unrelated_road
payment due.,check_bill
speak with someone in bangcud!,reach_admin
urgent smelly garbage in barangay 3!!!,unrelated_garbage
high bill...,bill_dispute
now when will power return!!!,unrelated_electricity
pizza delivery in sinalac please!,unrelated_general
weak flow asap.,low_pressure
unclear water...,contaminated_water
now good morning in caburacanan...,greeting
request maintenance in caburacanan!!!,request_maintenance
low pressure in laguitas.,low_pressure
muddy water in managok please?,contaminated_water
brownout in managok?,unrelated_electricity
customer service?,reach_admin
unacceptable unclear water in managok!,contaminated_water
overcharged disappointed...,bill_dispute
